date,name,category,value
2019-08-15,Vance Joy,,8
2019-08-15,Childish Gambino,,7
2019-08-15,Eminem,,7
2019-08-15,Philip Glass,,7
2019-08-15,Radiohead,,6
2019-08-15,Gorillaz,,5
2019-08-15,Albert Hammond, Jr.,,4
2019-08-15,The Beatles,,4
2019-08-15,The Velvet Underground,,4
2019-08-15,Avicii,,3
2019-08-15,Guns N' Roses,,3
2019-08-15,Hozier,,3
2019-08-15,José González,,3
2019-08-15,Kanye West,,3
2019-08-15,Led Zeppelin,,3
2019-08-15,Macklemore & Ryan Lewis,,3
2019-08-15,MGMT,,3
